,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
10614,0.001,1,0,0,83,9,0,0,0.0
10615,0.001,1,0,142,72,12,0,0,10.29
10616,0.001,1,0,0,2,3,0,0,6.99
10617,0.001,1,0,27,54,13,0,0,6.19
10618,0.001,1,0,33,68,28,0,0,6.99
10619,0.001,1,0,15,121,31,0,0,1.99
10620,0.001,1,0,0,12,17,0,0,5.99
10621,0.001,1,0,61,20,10,0,0,11.39
10622,0.001,1,0,42,23,2,0,0,1.99
10623,0.001,1,0,0,1,3,0,0,2.79
10624,0.001,1,0,0,0,4,0,0,154.99
10625,0.001,1,0,24,9,2,0,0,1.69
10626,0.001,1,0,0,16,8,0,0,0.0
10627,0.001,1,0,10,8,2,0,0,2.79
10628,0.001,1,18,52,2075,3780,1337,2634,44.99
10629,0.001,1,0,25,8,1,0,0,1.69
10630,0.001,1,0,0,81,12,0,0,9.29
10631,0.001,1,0,16,23,8,0,0,0.0
10632,0.001,1,0,34,2546,369,216,397,29.99
10633,0.001,1,0,25,139,47,254,254,18.99
10634,0.001,1,0,0,0,1,0,0,0.79
10635,0.001,1,0,5,69,17,0,0,18.99
10636,0.001,1,0,0,315,50,0,0,4.99
10637,0.001,1,0,0,115,96,0,0,7.99
10638,0.001,1,0,21,10,0,0,0,10.99
10639,0.001,1,0,7,706,45,0,0,0.0
10640,0.001,1,0,39,19,1,0,0,1.69
10641,0.001,1,0,0,3,1,0,0,1.59
10642,0.001,1,0,32,18,1,0,0,6.99
10643,0.001,1,0,0,8,6,0,0,10.99
10644,0.001,1,0,7,8,0,0,0,4.99
10645,0.001,1,0,0,2596,458,109,158,3.99
10646,0.001,1,0,0,54,9,0,0,10.99
10647,0.001,1,0,38,157,56,0,0,9.99
10648,0.001,1,0,0,16,11,0,0,14.99
10649,0.001,1,0,59,125,46,28,28,4.79
10650,0.001,1,0,6,21,6,0,0,4.99
10651,0.001,1,0,18,4,4,0,0,1.99
10652,0.001,1,0,0,496,66,0,0,15.49
10653,0.001,1,0,0,10,7,0,0,3.99
10654,0.001,1,0,0,31,6,386,386,5.99
10655,0.001,1,0,4,20,10,0,0,0.79
10656,0.001,1,0,0,2055,116,55,82,0.0
10657,0.001,1,0,0,5,2,0,0,2.79
10658,0.001,1,0,30,55,120,218,218,1.59
10659,0.001,1,0,15,31,3,0,0,4.79
10660,0.001,1,0,30,145,21,0,0,3.99
10661,0.001,1,0,0,2,0,0,0,1.69
10662,0.001,1,0,28,168,46,0,0,14.99
10663,0.001,1,0,24,209,20,254,254,1.59
10664,0.001,1,0,23,1,0,0,0,5.59
10665,0.001,1,0,133,15716,4308,1409,867,19.99
10666,0.001,1,0,0,110,198,257,266,0.79
10667,0.001,1,0,55,103,53,96,96,14.99
10668,0.001,1,0,6,10,8,0,0,3.99
10669,0.001,1,0,0,32,16,98,98,1.99
